main_category,level,parent_category,category_name
Matematyka,1,Matematyka,Matematyka
Biologia,1,Biologia,Biologia
Chemia,1,Chemia,Chemia
Astronomia,1,Astronomia,Astronomia
Matematyka,1,Matematyka,Matematyka
Fizyka,1,Fizyka,Fizyka
Fizyka,1,Fizyka,Fizyka
Informatyka,1,Informatyka,Informatyka
Informatyka,1,Informatyka,Informatyka
Psychologia,1,Psychologia,Psychologia
Astronomia,1,Astronomia,Astronomia
Psychologia,1,Psychologia,Psychologia
Biologia,1,Biologia,Biologia
Chemia,1,Chemia,Chemia
Chemia,1,Chemia,Listy związane z chemią
Chemia,1,Chemia,Broń chemiczna
Chemia,1,Chemia,Aparatura chemiczna
Chemia,1,Chemia,Chemicy
Chemia,1,Chemia,Bezpieczeństwo chemiczne
Chemia,1,Chemia,Historia chemii
Chemia,1,Chemia,Chemia kwasów i zasad
Biologia,1,Biologia,Historia biologii
Chemia,1,Chemia,Literatura chemiczna
Biologia,1,Biologia,Publikacje biologiczne
Chemia,1,Chemia,Izomeria
Biologia,1,Biologia,Anatomia
Chemia,1,Chemia,Indywidua chemiczne
Biologia,1,Biologia,Listy związane z biologią
Biologia,1,Biologia,Astrobiologia
Biologia,1,Biologia,Bioinformatyka
Biologia,1,Biologia,Biologia gleby
Biologia,1,Biologia,Biogeografia
Astronomia,1,Astronomia,Dziedziny astronomii
Astronomia,1,Astronomia,Listy związane z astronomią
Biologia,1,Biologia,Biolodzy
Astronomia,1,Astronomia,Asteryzmy
Astronomia,1,Astronomia,Astronomiczne projekty badawcze
Astronomia,1,Astronomia,Astronomowie
Biologia,1,Biologia,Biologia komórki
Astronomia,1,Astronomia,Astronomia w Polsce
Astronomia,1,Astronomia,Atlasy nieba
Astronomia,1,Astronomia,Astronomiczne jednostki odległości
Astronomia,1,Astronomia,Gwiazdozbiory
Matematyka,1,Matematyka,Wikiprojekt Matematyka
Matematyka,1,Matematyka,Dydaktyka matematyki
Matematyka,1,Matematyka,Historia matematyki
Matematyka,1,Matematyka,Listy związane z matematyką
Astronomia,1,Astronomia,Hipotezy astronomiczne
Matematyka,1,Matematyka,Dziedziny matematyki
Matematyka,1,Matematyka,Matematycy
Matematyka,1,Matematyka,Edukacja matematyczna
Matematyka,1,Matematyka,Filozofia matematyki
Matematyka,1,Matematyka,Czasopisma matematyczne
Biologia,1,Biologia,Historia biologii
Astronomia,1,Astronomia,Dziedziny astronomii
Matematyka,1,Matematyka,Konkursy matematyczne
Astronomia,1,Astronomia,Asteryzmy
Chemia,1,Chemia,Bezpieczeństwo chemiczne
Astronomia,1,Astronomia,Listy związane z astronomią
Chemia,1,Chemia,Listy związane z chemią
Chemia,1,Chemia,Aparatura chemiczna
Chemia,1,Chemia,Broń chemiczna
Biologia,1,Biologia,Listy związane z biologią
Biologia,1,Biologia,Publikacje biologiczne
Biologia,1,Biologia,Astrobiologia
Biologia,1,Biologia,Anatomia
Astronomia,1,Astronomia,Astronomia w Polsce
Chemia,1,Chemia,Chemia kwasów i zasad
Astronomia,1,Astronomia,Atlasy nieba
Astronomia,1,Astronomia,Astronomiczne jednostki odległości
Biologia,1,Biologia,Biogeografia
Astronomia,1,Astronomia,Astronomiczne projekty badawcze
Astronomia,1,Astronomia,Astronomowie
Chemia,1,Chemia,Chemicy
Matematyka,1,Matematyka,Wikiprojekt Matematyka
Astronomia,1,Astronomia,Hipotezy astronomiczne
Biologia,1,Biologia,Bioinformatyka
